directFractionalCadence,directTimestamp,sumDistance,directCorrectedElevation,directHeartRate,directDoubleCadence,directLongitude,sumElapsedDuration,directSpeed,directElevation,directUncorrectedElevation,sumMovingDuration,directLatitude,directRunCadence,sumDuration,directVerticalSpeed,elapsed_s
0.0,1787872554000.0,725.489990234375,101.80000305175781,137.0,152.0,106.89146993681788,491.0,1.7170000076293945,101.80000305175781,109.80000305175781,483.0,-6.4352821838110685,76.0,491.0,-0.0949999988079071,491.0
0.5,1787872559000.0,733.7000122070312,101.19999694824219,136.0,155.0,106.89140086993575,496.0,1.7170000076293945,101.19999694824219,110.0,488.0,-6.435309089720249,77.0,496.0,-0.14100000262260437,496.0
0.0,1787872564000.0,739.0399780273438,100.5999984741211,134.0,146.0,106.8913531769067,501.0,1.7170000076293945,100.5999984741211,110.0,493.0,-6.435314621776342,73.0,501.0,-0.125,501.0
0.0,1787872566000.0,741.8400268554688,100.4000015258789,134.0,146.0,106.89133138395846,503.0,1.6979999542236328,100.4000015258789,109.80000305175781,495.0,-6.43532769754529,73.0,503.0,-0.0860000029206276,503.0
0.0,1787872575000.0,756.3499755859375,99.0,134.0,156.0,106.89120900817215,512.0,1.6050000190734863,99.0,107.5999984741211,504.0,-6.43537312746048,78.0,512.0,-0.1459999978542328,512.0
0.5,1787872582000.0,768.1099853515625,97.5999984741211,133.0,155.0,106.89110968261957,519.0,1.6330000162124634,97.5999984741211,106.80000305175781,511.0,-6.435408163815737,77.0,519.0,-0.20100000500679016,519.0
0.0,1787872591000.0,782.4500122070312,96.0,134.0,154.0,106.89098965376616,528.0,1.6330000162124634,96.0,107.5999984741211,520.0,-6.435455521568656,77.0,528.0,-0.16899999976158142,528.0
0.0,1787872600000.0,797.9400024414062,95.4000015258789,137.0,156.0,106.89085847698152,537.0,1.6050000190734863,95.4000015258789,106.19999694824219,529.0,-6.43550313077867,78.0,537.0,-0.07199999690055847,537.0
0.0,1787872609000.0,814.6300048828125,95.4000015258789,137.0,152.0,106.89072101376951,546.0,1.6519999504089355,95.4000015258789,105.4000015258789,538.0,-6.435564821586013,76.0,546.0,-0.01600000075995922,546.0
0.5,1787872614000.0,824.22998046875,95.19999694824219,140.0,155.0,106.89063895493746,551.0,1.6699999570846558,95.19999694824219,106.0,543.0,-6.435592481866479,77.0,551.0,-0.020999999716877937,551.0
0.5,1787872618000.0,832.0800170898438,95.4000015258789,142.0,155.0,106.89057843759656,555.0,1.6890000104904175,95.4000015258789,107.19999694824219,547.0,-6.435628104954958,77.0,555.0,0.03200000151991844,555.0
0.0,1787872629000.0,852.2100219726562,95.19999694824219,145.0,154.0,106.89040610566735,566.0,1.7359999418258667,95.19999694824219,108.4000015258789,558.0,-6.435686694458127,77.0,566.0,-0.01600000075995922,566.0
0.0,1787872637000.0,865.5399780273438,95.80000305175781,146.0,150.0,106.89030225388706,574.0,1.753999948501587,95.80000305175781,109.5999984741211,566.0,-6.4357431046664715,75.0,574.0,0.07999999821186066,574.0
