directLongitude,directSpeed,directLatitude,sumDistance,sumElapsedDuration,directElevation,directHeartRate,directFractionalCadence,sumMovingDuration,directRunCadence,sumDuration,directDoubleCadence,directTimestamp,directUncorrectedElevation,directCorrectedElevation,directVerticalSpeed,elapsed_s
106.88895695842803,1.409000039100647,-6.438959073275328,1263.97998046875,951.0,99.0,125.0,0.5,951.0,74.0,951.0,149.0,1786577212000.0,110.5999984741211,99.0,0.1679999977350235,951.0
106.88891471363604,1.399999976158142,-6.4391004759818316,1280.280029296875,963.0,101.19999694824219,125.0,0.5,963.0,73.0,963.0,147.0,1786577224000.0,110.80000305175781,101.19999694824219,0.17800000309944153,963.0
106.88888244330883,1.371999979019165,-6.439190413802862,1290.8599853515625,973.0,102.19999694824219,126.0,0.5,973.0,74.0,973.0,149.0,1786577234000.0,108.5999984741211,102.19999694824219,0.10999999940395355,973.0
106.88884346745908,1.3339999914169312,-6.439310275018215,1304.81005859375,983.0,103.4000015258789,129.0,0.5,983.0,70.0,983.0,141.0,1786577244000.0,106.5999984741211,103.4000015258789,0.12099999934434891,983.0
106.88883097842336,1.3339999914169312,-6.439351513981819,1309.56005859375,987.0,103.5999984741211,132.0,0.0,987.0,70.0,987.0,140.0,1786577248000.0,107.4000015258789,103.5999984741211,0.014999999664723873,987.0
106.8888046592474,1.2970000505447388,-6.439418317750096,1317.5,995.0,103.5999984741211,131.0,0.0,995.0,68.0,995.0,136.0,1786577256000.0,108.80000305175781,103.5999984741211,0.006000000052154064,995.0
106.88877364620566,1.2319999933242798,-6.439510015770793,1328.2099609375,1004.0,104.0,128.0,0.5,1004.0,67.0,1004.0,135.0,1786577265000.0,110.19999694824219,104.0,0.04500000178813934,1004.0
106.88875528983772,1.2130000591278076,-6.4395752269774675,1335.6800537109375,1010.0,104.4000015258789,131.0,0.0,1010.0,70.0,1010.0,140.0,1786577271000.0,110.5999984741211,104.4000015258789,0.0560000017285347,1010.0
106.88871899619699,1.2130000591278076,-6.439678492024541,1347.800048828125,1020.0,104.80000305175781,129.0,0.0,1020.0,0.0,1020.0,0.0,1786577281000.0,111.4000015258789,104.80000305175781,0.04800000041723251,1020.0
106.88868907280266,1.1759999990463257,-6.439744373783469,1355.8299560546875,1028.0,105.19999694824219,129.0,0.0,1028.0,70.0,1028.0,140.0,1786577289000.0,111.4000015258789,105.19999694824219,0.054999999701976776,1028.0
106.88867591321468,1.156999945640564,-6.439800029620528,1362.1400146484375,1033.0,105.4000015258789,126.0,0.0,1033.0,71.0,1033.0,142.0,1786577294000.0,111.5999984741211,105.4000015258789,0.05000000074505806,1033.0
106.88865219242871,1.1660000085830688,-6.439878735691309,1371.280029296875,1040.0,105.80000305175781,124.0,0.0,1040.0,72.0,1040.0,144.0,1786577301000.0,112.5999984741211,105.80000305175781,0.05299999937415123,1040.0
106.88859117217362,1.1759999990463257,-6.439999770373106,1386.260009765625,1052.0,106.4000015258789,124.0,0.5,1052.0,72.0,1052.0,145.0,1786577313000.0,113.19999694824219,106.4000015258789,0.03999999910593033,1052.0
106.88855169340968,1.1660000085830688,-6.440064646303654,1394.699951171875,1058.0,106.0,125.0,0.0,1058.0,73.0,1058.0,146.0,1786577319000.0,112.80000305175781,106.0,-0.05400000140070915,1058.0
106.88854314386845,1.1660000085830688,-6.44010060466826,1398.5899658203125,1060.0,105.80000305175781,125.0,0.0,1060.0,73.0,1060.0,146.0,1786577321000.0,112.80000305175781,105.80000305175781,-0.11400000005960464,1060.0
106.88851648941636,1.1759999990463257,-6.440149722620845,1404.5899658203125,1064.0,105.5999984741211,128.0,0.0,1064.0,71.0,1064.0,142.0,1786577325000.0,114.19999694824219,105.5999984741211,-0.06400000303983688,1064.0
106.88850617967546,1.194000005722046,-6.4402159396559,1411.9200439453125,1069.0,105.19999694824219,125.0,0.5,1069.0,72.0,1069.0,145.0,1786577330000.0,116.80000305175781,105.19999694824219,-0.07400000095367432,1069.0
106.88850509002805,1.194000005722046,-6.440226584672928,1413.0799560546875,1070.0,105.19999694824219,124.0,0.5,1070.0,72.0,1070.0,145.0,1786577331000.0,117.19999694824219,105.19999694824219,-0.03799999877810478,1070.0
106.88849117606878,1.2039999961853027,-6.44028140231967,1419.3699951171875,1076.0,104.80000305175781,121.0,0.0,1076.0,70.0,1076.0,140.0,1786577337000.0,117.5999984741211,104.80000305175781,-0.04500000178813934,1076.0
106.88847466371953,1.2039999961853027,-6.440326077863574,1424.6199951171875,1080.0,104.5999984741211,121.0,0.0,1080.0,70.0,1080.0,140.0,1786577341000.0,116.80000305175781,104.5999984741211,-0.07999999821186066,1080.0
106.88844658434391,1.2039999961853027,-6.440405119210482,1433.8499755859375,1088.0,104.0,120.0,0.5,1088.0,71.0,1088.0,143.0,1786577349000.0,115.4000015258789,104.0,-0.07100000232458115,1088.0
106.88840073533356,1.222000002861023,-6.4405379723757505,1449.3699951171875,1099.0,102.4000015258789,121.0,0.0,1099.0,72.0,1099.0,144.0,1786577360000.0,115.19999694824219,102.4000015258789,-0.14000000059604645,1099.0
106.88836729153991,1.2410000562667847,-6.440647440031171,1461.97998046875,1109.0,101.5999984741211,123.0,0.0,1109.0,72.0,1109.0,144.0,1786577370000.0,115.5999984741211,101.5999984741211,-0.07599999755620956,1109.0
106.88833745196462,1.2599999904632568,-6.440767552703619,1475.6800537109375,1120.0,101.19999694824219,122.0,0.0,1120.0,70.0,1120.0,140.0,1786577381000.0,116.80000305175781,101.19999694824219,-0.04899999871850014,1120.0
