directLatitude,directDoubleCadence,directFractionalCadence,sumElapsedDuration,directTimestamp,directRunCadence,sumDuration,sumMovingDuration,sumDistance,directLongitude,directUncorrectedElevation,directSpeed,directElevation,directCorrectedElevation,directHeartRate,directVerticalSpeed,elapsed_s
-6.433126609772444,157.0,0.5,292.0,1789513535000.0,78.0,292.0,283.0,434.8599853515625,106.89257986843586,104.5999984741211,1.5490000247955322,91.4000015258789,91.4000015258789,121.0,-0.01600000075995922,292.0
-6.43326130695641,154.0,0.0,301.0,1789513544000.0,77.0,301.0,292.0,449.79998779296875,106.89258439466357,104.19999694824219,1.6050000190734863,91.0,91.0,124.0,-0.05000000074505806,301.0
-6.4333463832736015,154.0,0.0,306.0,1789513549000.0,77.0,306.0,297.0,459.2200012207031,106.89259252510965,104.19999694824219,1.6330000162124634,90.80000305175781,90.80000305175781,127.0,-0.027000000700354576,306.0
-6.433440009132028,157.0,0.5,311.0,1789513554000.0,78.0,311.0,302.0,469.6000061035156,106.89259202219546,104.4000015258789,1.6799999475479126,90.80000305175781,90.80000305175781,128.0,-0.0010000000474974513,311.0
-6.433631870895624,158.0,0.0,322.0,1789513565000.0,79.0,322.0,313.0,490.82000732421875,106.892593447119,104.0,1.809999942779541,91.0,91.0,127.0,0.006000000052154064,322.0
-6.433649556711316,158.0,0.0,323.0,1789513566000.0,79.0,323.0,314.0,492.7799987792969,106.892593447119,104.0,1.819000005722046,91.0,91.0,127.0,0.0,323.0
-6.4337357226759195,157.0,0.5,328.0,1789513571000.0,78.0,328.0,319.0,502.3999938964844,106.89258271828294,104.80000305175781,1.8660000562667847,91.0,91.0,131.0,-0.00800000037997961,328.0
-6.433773022145033,157.0,0.5,330.0,1789513573000.0,78.0,330.0,321.0,506.5899963378906,106.89257609657943,104.80000305175781,1.875,90.80000305175781,90.80000305175781,134.0,-0.012000000104308128,330.0
-6.433834545314312,157.0,0.5,333.0,1789513576000.0,78.0,333.0,324.0,513.719970703125,106.8925567343831,105.19999694824219,1.902999997138977,90.80000305175781,90.80000305175781,135.0,-0.023000000044703484,333.0
-6.433952059596777,158.0,0.0,340.0,1789513583000.0,79.0,340.0,331.0,527.1300048828125,106.89252748154104,107.5999984741211,1.940999984741211,92.19999694824219,92.19999694824219,138.0,0.19499999284744263,340.0
-6.433968236669898,158.0,0.0,341.0,1789513584000.0,79.0,341.0,332.0,529.030029296875,106.89252144657075,107.80000305175781,1.940999984741211,92.19999694824219,92.19999694824219,138.0,0.08699999749660492,341.0
