directLongitude,directLatitude,directFractionalCadence,directDoubleCadence,directRunCadence,directSpeed,directElevation,sumDistance,directHeartRate,directCorrectedElevation,directUncorrectedElevation,sumDuration,sumMovingDuration,sumElapsedDuration,directTimestamp,directVerticalSpeed,elapsed_s
106.89231449738145,-6.434405604377389,0.0,160.0,80.0,1.6699999570846558,97.0,518.0,125.0,97.0,105.19999694824219,313.0,305.0,313.0,1785885156000.0,0.24400000274181366,313.0
106.89228289760649,-6.434446508064866,0.0,160.0,80.0,1.7170000076293945,97.5999984741211,523.719970703125,128.0,97.5999984741211,105.4000015258789,316.0,308.0,316.0,1785885159000.0,0.16300000250339508,316.0
106.89221768639982,-6.434512892737985,0.0,160.0,80.0,1.7640000581741333,98.19999694824219,533.989990234375,131.0,98.19999694824219,106.19999694824219,321.0,313.0,321.0,1785885164000.0,0.14100000262260437,321.0
106.8921994138509,-6.434537451714277,0.5,157.0,78.0,1.7730000019073486,98.4000015258789,537.3699951171875,132.0,98.4000015258789,106.5999984741211,323.0,315.0,323.0,1785885166000.0,0.0989999994635582,323.0
106.89215297810733,-6.434593359008431,0.0,162.0,81.0,1.781999945640564,99.0,545.4000244140625,136.0,99.0,107.0,327.0,319.0,327.0,1785885170000.0,0.125,327.0
106.89208474941552,-6.434653624892235,0.0,164.0,82.0,1.8009999990463257,99.5999984741211,555.4600219726562,135.0,99.5999984741211,107.19999694824219,332.0,324.0,332.0,1785885175000.0,0.1469999998807907,332.0
106.89200788736343,-6.434747586026788,0.0,160.0,80.0,1.819000005722046,100.0,568.8499755859375,138.0,100.0,108.0,339.0,331.0,339.0,1785885182000.0,0.04699999839067459,339.0
106.89199372194707,-6.434763595461845,0.0,160.0,80.0,1.819000005722046,100.0,571.1900024414062,139.0,100.0,108.0,340.0,332.0,340.0,1785885183000.0,0.007000000216066837,340.0
106.89191367477179,-6.434854539111257,0.0,162.0,81.0,1.8289999961853027,100.0,584.5499877929688,142.0,100.0,106.5999984741211,346.0,338.0,346.0,1785885189000.0,0.0,346.0
106.89186505973339,-6.434903405606747,0.0,162.0,81.0,1.847000002861023,100.0,592.1699829101562,143.0,100.0,106.0,349.0,341.0,349.0,1785885192000.0,0.0,349.0
106.89183656126261,-6.434935173019767,0.0,158.0,79.0,1.902999997138977,100.0,596.8900146484375,146.0,100.0,105.80000305175781,351.0,343.0,351.0,1785885194000.0,0.0,351.0
106.89177688211203,-6.435000970959663,0.5,157.0,78.0,2.015000104904175,100.19999694824219,606.7100219726562,147.0,100.19999694824219,106.4000015258789,356.0,348.0,356.0,1785885199000.0,0.054999999701976776,356.0
106.8916988465935,-6.435074899345636,0.0,158.0,79.0,1.7910000085830688,100.80000305175781,618.6300048828125,148.0,100.80000305175781,108.4000015258789,364.0,356.0,364.0,1785885207000.0,0.06400000303983688,364.0
106.8916055560112,-6.435153437778354,0.5,153.0,76.0,1.5770000219345093,101.19999694824219,632.260009765625,147.0,101.19999694824219,111.5999984741211,374.0,366.0,374.0,1785885217000.0,0.04600000008940697,374.0
