sumMovingDuration,sumDistance,sumDuration,directHeartRate,directLongitude,directLatitude,directCorrectedElevation,directRunCadence,directUncorrectedElevation,sumElapsedDuration,directTimestamp,directElevation,directFractionalCadence,directSpeed,directDoubleCadence,directVerticalSpeed,elapsed_s
327.0,543.1099853515625,357.0,144.0,106.89206714741886,-6.4346610847860575,99.80000305175781,78.0,104.4000015258789,362.0,1786057677000.0,99.80000305175781,0.5,1.437000036239624,157.0,0.12600000202655792,362.0
330.0,548.719970703125,360.0,142.0,106.89204384572804,-6.43470567651093,100.0,79.0,105.0,365.0,1786057680000.0,100.0,0.0,1.4459999799728394,158.0,0.03999999910593033,365.0
341.0,568.25,371.0,145.0,106.89192356541753,-6.434833500534296,100.0,78.0,104.4000015258789,376.0,1786057691000.0,100.0,0.5,1.4930000305175781,157.0,0.0020000000949949026,376.0
349.0,580.2999877929688,379.0,145.0,106.8918452784419,-6.43490893766284,100.0,77.0,104.19999694824219,384.0,1786057699000.0,100.0,0.5,1.5119999647140503,155.0,-0.0010000000474974513,384.0
360.0,596.5700073242188,390.0,144.0,106.89174829982221,-6.4350189082324505,100.4000015258789,79.0,103.5999984741211,395.0,1786057710000.0,100.4000015258789,0.0,1.5210000276565552,158.0,0.03200000151991844,395.0
367.0,607.2000122070312,397.0,144.0,106.89167596399784,-6.435082359239459,100.80000305175781,77.0,103.19999694824219,402.0,1786057717000.0,100.80000305175781,0.0,1.5210000276565552,154.0,0.0560000017285347,402.0
375.0,619.3099975585938,405.0,143.0,106.89158820547163,-6.435145642608404,101.0,76.0,104.4000015258789,410.0,1786057725000.0,101.0,0.5,1.5119999647140503,153.0,0.03500000014901161,410.0
379.0,625.4000244140625,409.0,140.0,106.89154897816479,-6.43518503755331,101.19999694824219,79.0,105.0,414.0,1786057729000.0,101.19999694824219,0.0,1.5019999742507935,158.0,0.07100000232458115,414.0
385.0,635.0599975585938,415.0,139.0,106.8914778996259,-6.435236670076847,101.4000015258789,80.0,106.19999694824219,420.0,1786057735000.0,101.4000015258789,0.5,1.5019999742507935,161.0,0.014999999664723873,420.0
397.0,655.8499755859375,427.0,140.0,106.89130732789636,-6.435315879061818,99.80000305175781,79.0,107.80000305175781,432.0,1786057747000.0,99.80000305175781,0.0,1.5490000247955322,158.0,-0.12600000202655792,432.0
400.0,659.530029296875,430.0,143.0,106.89127665013075,-6.435328619554639,99.5999984741211,79.0,107.80000305175781,435.0,1786057750000.0,99.5999984741211,0.5,1.5579999685287476,159.0,-0.10100000351667404,435.0
406.0,668.3200073242188,436.0,146.0,106.89120473340154,-6.435362650081515,98.80000305175781,77.0,107.5999984741211,441.0,1786057756000.0,98.80000305175781,0.5,1.5399999618530273,155.0,-0.11999999731779099,441.0
407.0,669.8200073242188,437.0,146.0,106.89119157381356,-6.4353658352047205,98.5999984741211,78.0,107.4000015258789,442.0,1786057757000.0,98.5999984741211,0.0,1.5299999713897705,156.0,-0.20200000703334808,442.0
418.0,684.9500122070312,448.0,146.0,106.89106148667634,-6.435407744720578,96.80000305175781,76.0,107.5999984741211,453.0,1786057768000.0,96.80000305175781,0.5,1.5019999742507935,153.0,-0.1679999977350235,453.0
429.0,699.8499755859375,459.0,144.0,106.89093844033778,-6.435465412214398,95.4000015258789,76.0,107.80000305175781,464.0,1786057779000.0,95.4000015258789,0.5,1.4279999732971191,153.0,-0.11999999731779099,464.0
439.0,715.27001953125,469.0,141.0,106.89080835320055,-6.4355136919766665,95.4000015258789,77.0,107.4000015258789,474.0,1786057789000.0,95.4000015258789,0.0,1.399999976158142,154.0,-0.012000000104308128,474.0
440.0,716.4099731445312,470.0,140.0,106.89079980365932,-6.435520062223077,95.4000015258789,77.0,107.4000015258789,475.0,1786057790000.0,95.4000015258789,0.0,1.399999976158142,154.0,0.014999999664723873,475.0
