directDoubleCadence,directElevation,directLongitude,sumMovingDuration,sumElapsedDuration,sumDistance,directHeartRate,sumDuration,directTimestamp,directLatitude,directCorrectedElevation,directRunCadence,directFractionalCadence,directSpeed,directUncorrectedElevation,directVerticalSpeed,elapsed_s
117.0,15.600000381469727,106.81342192925513,564.0,564.0,1193.4599609375,155.0,564.0,1788050218000.0,-6.2184488866478205,15.600000381469727,58.0,0.5,1.3339999914169312,30.600000381469727,0.10100000351667404,564.0
0.0,15.600000381469727,106.81346794590354,568.0,568.0,1199.2900390625,154.0,568.0,1788050222000.0,-6.218427764251828,15.600000381469727,0.0,0.0,1.315999984741211,30.600000381469727,-0.01899999938905239,568.0
122.0,15.399999618530273,106.81349367834628,571.0,571.0,1205.1099853515625,155.0,571.0,1788050225000.0,-6.21838141232729,15.399999618530273,61.0,0.0,1.315999984741211,30.799999237060547,-0.0560000017285347,571.0
122.0,15.399999618530273,106.81351413019001,573.0,573.0,1209.030029296875,156.0,573.0,1788050227000.0,-6.218352243304253,15.399999618530273,61.0,0.0,1.315999984741211,30.799999237060547,-0.052000001072883606,573.0
122.0,15.399999618530273,106.81352561339736,574.0,574.0,1210.510009765625,156.0,574.0,1788050228000.0,-6.218345118686557,15.399999618530273,61.0,0.0,1.3250000476837158,30.799999237060547,-0.026000000536441803,574.0
115.0,15.199999809265137,106.81361085735261,581.0,581.0,1220.9300537109375,154.0,581.0,1788050235000.0,-6.218303544446826,15.199999809265137,57.0,0.5,1.305999994277954,36.20000076293945,-0.020999999716877937,581.0
115.0,15.0,106.81362661533058,583.0,583.0,1224.1199951171875,153.0,583.0,1788050237000.0,-6.218275548890233,15.0,57.0,0.5,1.305999994277954,37.0,-0.05000000074505806,583.0
116.0,15.199999809265137,106.81365989148617,587.0,587.0,1229.52001953125,152.0,587.0,1788050241000.0,-6.218239841982722,15.199999809265137,58.0,0.0,1.315999984741211,37.79999923706055,0.008999999612569809,587.0
118.0,15.399999618530273,106.81373516097665,596.0,596.0,1241.81005859375,151.0,596.0,1788050250000.0,-6.218157531693578,15.399999618530273,59.0,0.0,1.315999984741211,35.400001525878906,0.035999998450279236,596.0
160.0,15.199999809265137,106.81384094059467,606.0,606.0,1256.030029296875,148.0,606.0,1788050260000.0,-6.2180854473263025,15.199999809265137,80.0,0.0,1.3339999914169312,32.599998474121094,-0.024000000208616257,606.0
160.0,15.0,106.81387111544609,608.0,608.0,1259.5400390625,149.0,608.0,1788050262000.0,-6.218075305223465,15.0,80.0,0.0,1.3899999856948853,32.0,-0.07199999690055847,608.0
157.0,15.800000190734863,106.81400061585009,617.0,617.0,1275.3699951171875,148.0,617.0,1788050271000.0,-6.218013530597091,15.800000190734863,78.0,0.5,1.6610000133514404,31.399999618530273,0.0729999989271164,617.0
