directSpeed,directTimestamp,directFractionalCadence,directElevation,directRunCadence,directHeartRate,sumMovingDuration,sumDistance,directLatitude,directLongitude,sumDuration,sumElapsedDuration,directCorrectedElevation,directUncorrectedElevation,directDoubleCadence,directVerticalSpeed,elapsed_s
1.968999981880188,1786229445000.0,0.0,72.19999694824219,78.0,162.0,545.0,1044.4200439453125,-6.362837394699454,106.83113993145525,545.0,545.0,72.19999694824219,90.4000015258789,156.0,-0.06199999898672104,545.0
1.6139999628067017,1786229452000.0,0.5,71.4000015258789,62.0,162.0,552.0,1054.6600341796875,-6.362779978662729,106.83106776326895,552.0,552.0,71.4000015258789,93.4000015258789,125.0,-0.11500000208616257,552.0
1.5299999713897705,1786229456000.0,0.0,70.80000305175781,0.0,159.0,556.0,1060.4100341796875,-6.362742176279426,106.83103180490434,556.0,556.0,70.80000305175781,94.5999984741211,0.0,-0.13300000131130219,556.0
1.5019999742507935,1786229457000.0,0.0,70.80000305175781,0.0,158.0,557.0,1061.699951171875,-6.362730776891112,106.8310290388763,557.0,557.0,70.80000305175781,94.5999984741211,0.0,0.057999998331069946,557.0
1.38100004196167,1786229460000.0,0.0,71.0,0.0,157.0,560.0,1066.1400146484375,-6.3627024460583925,106.83100045658648,560.0,560.0,71.0,94.80000305175781,0.0,0.032999999821186066,560.0
1.3250000476837158,1786229465000.0,0.0,71.19999694824219,61.0,160.0,565.0,1071.0400390625,-6.362669924274087,106.83097053319216,565.0,565.0,71.19999694824219,94.80000305175781,122.0,0.04500000178813934,565.0
1.2970000505447388,1786229469000.0,0.0,71.19999694824219,61.0,160.0,569.0,1075.010009765625,-6.362652741372585,106.83093876577914,569.0,569.0,71.19999694824219,92.80000305175781,122.0,0.032999999821186066,569.0
1.2879999876022339,1786229472000.0,0.0,71.80000305175781,61.0,160.0,572.0,1080.0799560546875,-6.362618459388614,106.83090951293707,572.0,572.0,71.80000305175781,91.80000305175781,122.0,0.1860000044107437,572.0
1.277999997138977,1786229476000.0,0.0,73.0,58.0,160.0,576.0,1088.0,-6.362567162141204,106.83085788041353,576.0,576.0,73.0,91.0,116.0,0.27799999713897705,576.0
1.3339999914169312,1786229484000.0,0.5,75.4000015258789,58.0,159.0,584.0,1101.7900390625,-6.362468339502811,106.83078085072339,584.0,584.0,75.4000015258789,88.0,117.0,0.3089999854564667,584.0
1.3619999885559082,1786229485000.0,0.0,75.5999984741211,59.0,159.0,585.0,1102.8800048828125,-6.362458448857069,106.83077833615243,585.0,585.0,75.5999984741211,88.0,118.0,0.2409999966621399,585.0
1.3899999856948853,1786229488000.0,0.0,76.80000305175781,60.0,157.0,588.0,1107.1300048828125,-6.362429866567254,106.83075293898582,588.0,588.0,76.80000305175781,88.19999694824219,120.0,0.3659999966621399,588.0
1.4739999771118164,1786229495000.0,0.0,78.4000015258789,0.0,154.0,595.0,1118.31005859375,-6.362359374761581,106.83068051934242,595.0,595.0,78.4000015258789,88.5999984741211,0.0,0.2240000069141388,595.0
