directFractionalCadence,directUncorrectedElevation,directHeartRate,sumDuration,directCorrectedElevation,sumElapsedDuration,sumMovingDuration,directLatitude,directDoubleCadence,directElevation,directRunCadence,sumDistance,directTimestamp,directLongitude,directSpeed,directVerticalSpeed,elapsed_s
0.5,71.5999984741211,149.0,386.0,14.0,386.0,385.0,-6.223824033513665,161.0,14.0,80.0,780.5700073242188,1788656376000.0,106.80610712617636,2.052999973297119,-0.28299999237060547,386.0
0.5,67.0,151.0,394.0,11.399999618530273,394.0,393.0,-6.2237276416271925,159.0,11.399999618530273,79.0,796.739990234375,1788656384000.0,106.80622472427785,1.968999981880188,-0.3199999928474426,394.0
0.0,66.4000015258789,151.0,395.0,11.0,395.0,394.0,-6.223699729889631,160.0,11.0,80.0,799.6300048828125,1788656385000.0,106.8062343634665,1.940999984741211,-0.49900001287460327,395.0
0.5,61.599998474121094,150.0,404.0,10.399999618530273,404.0,403.0,-6.223627142608166,155.0,10.399999618530273,77.0,812.7899780273438,1788656394000.0,106.80632824078202,1.819000005722046,-0.06199999898672104,404.0
0.5,57.599998474121094,147.0,409.0,10.199999809265137,409.0,408.0,-6.223592692986131,155.0,10.199999809265137,77.0,818.97998046875,1788656399000.0,106.80637165904045,1.7359999418258667,-0.054999999701976776,409.0
0.5,56.79999923706055,146.0,410.0,10.199999809265137,410.0,409.0,-6.2235906813293695,155.0,10.199999809265137,77.0,819.97998046875,1788656400000.0,106.80638054385781,1.7259999513626099,0.052000001072883606,410.0
0.0,55.599998474121094,146.0,412.0,10.399999618530273,412.0,411.0,-6.223592357710004,154.0,10.399999618530273,77.0,821.8499755859375,1788656402000.0,106.80640149861574,1.6890000104904175,0.13099999725818634,412.0
0.0,53.599998474121094,143.0,417.0,10.800000190734863,417.0,416.0,-6.223623119294643,146.0,10.800000190734863,73.0,824.8699951171875,1788656407000.0,106.80644609034061,1.6610000133514404,0.05400000140070915,417.0
0.5,53.400001525878906,142.0,422.0,11.0,422.0,421.0,-6.22358288615942,159.0,11.0,79.0,832.8099975585938,1788656412000.0,106.8065055180341,1.6050000190734863,0.057999998331069946,422.0
0.0,54.20000076293945,143.0,430.0,13.399999618530273,430.0,429.0,-6.223543155938387,160.0,13.399999618530273,80.0,847.6500244140625,1788656420000.0,106.80662965402007,1.7910000085830688,0.29899999499320984,430.0
0.5,54.400001525878906,144.0,434.0,14.800000190734863,434.0,433.0,-6.223517004400492,163.0,14.800000190734863,81.0,857.2100219726562,1788656424000.0,106.80671062320471,1.847000002861023,0.35899999737739563,434.0
0.5,53.599998474121094,144.0,438.0,15.600000381469727,438.0,437.0,-6.2234890926629305,159.0,15.600000381469727,79.0,864.5399780273438,1788656428000.0,106.80677625350654,1.8569999933242798,0.20999999344348907,438.0
0.0,53.0,145.0,440.0,15.600000381469727,440.0,439.0,-6.223461767658591,158.0,15.600000381469727,79.0,867.9400024414062,1788656430000.0,106.80680332705379,1.847000002861023,-0.0020000000949949026,440.0
0.5,52.599998474121094,145.0,443.0,16.200000762939453,443.0,442.0,-6.2234431598335505,159.0,16.200000762939453,79.0,874.9400024414062,1788656433000.0,106.80686275474727,1.8380000591278076,0.14900000393390656,443.0
0.5,52.599998474121094,145.0,446.0,15.600000381469727,446.0,445.0,-6.223378786817193,161.0,15.600000381469727,80.0,879.1500244140625,1788656436000.0,106.80687390267849,1.8569999933242798,-0.20800000429153442,446.0
0.5,53.400001525878906,145.0,451.0,16.0,451.0,450.0,-6.223326567560434,161.0,16.0,80.0,890.8099975585938,1788656441000.0,106.806965097785,1.875,0.10400000214576721,451.0
0.5,55.79999923706055,147.0,459.0,17.0,459.0,458.0,-6.2231845781207085,163.0,17.0,81.0,911.5900268554688,1788656449000.0,106.80707766674459,1.9869999885559082,0.11400000005960464,459.0
0.5,60.599998474121094,146.0,464.0,19.0,464.0,463.0,-6.223108638077974,163.0,19.0,81.0,924.780029296875,1788656454000.0,106.80717280134559,2.0989999771118164,0.42500001192092896,464.0
0.5,64.80000305175781,147.0,470.0,21.0,470.0,469.0,-6.223016856238246,163.0,21.0,81.0,938.4199829101562,1788656460000.0,106.80725955404341,2.127000093460083,0.3089999854564667,470.0
0.5,65.0,150.0,474.0,22.0,474.0,473.0,-6.222969498485327,161.0,22.0,80.0,948.5599975585938,1788656464000.0,106.8073382601142,2.0989999771118164,0.2930000126361847,474.0
0.5,64.80000305175781,151.0,477.0,22.0,477.0,476.0,-6.222986429929733,163.0,22.0,81.0,952.4400024414062,1788656467000.0,106.80738184601068,2.1459999084472656,-0.061000000685453415,477.0
0.5,65.19999694824219,152.0,484.0,22.399999618530273,484.0,483.0,-6.22294032946229,163.0,22.399999618530273,81.0,965.8499755859375,1788656474000.0,106.80749324150383,2.1549999713897705,0.07100000232458115,484.0
0.5,66.4000015258789,153.0,493.0,23.0,493.0,492.0,-6.222862545400858,161.0,23.0,80.0,985.8800048828125,1788656483000.0,106.80765551514924,2.2860000133514404,0.06499999761581421,493.0
0.5,67.80000305175781,154.0,501.0,23.399999618530273,501.0,500.0,-6.222792724147439,163.0,23.399999618530273,81.0,1000.4600219726562,1788656491000.0,106.80776665918529,2.257999897003174,0.04399999976158142,501.0
