directRunCadence,directDoubleCadence,sumMovingDuration,sumDistance,directHeartRate,directCorrectedElevation,sumDuration,directUncorrectedElevation,directTimestamp,directFractionalCadence,directLatitude,directLongitude,sumElapsedDuration,directElevation,directSpeed,directVerticalSpeed,elapsed_s
79.0,159.0,216.0,411.8699951171875,157.0,75.19999694824219,289.0,95.0,1784593121000.0,0.5,-6.426728283986449,106.89433235675097,289.0,75.19999694824219,1.930999994277954,-0.05400000140070915,289.0
79.0,158.0,222.0,422.6400146484375,154.0,75.0,295.0,95.0,1784593127000.0,0.0,-6.426630970090628,106.89432607032359,295.0,75.0,1.9220000505447388,-0.03999999910593033,295.0
79.0,158.0,224.0,426.05999755859375,151.0,75.19999694824219,297.0,95.0,1784593129000.0,0.0,-6.426600627601147,106.89432037062943,297.0,75.19999694824219,1.9129999876022339,0.054999999701976776,297.0
78.0,157.0,226.0,429.6700134277344,149.0,75.19999694824219,299.0,95.19999694824219,1784593131000.0,0.5,-6.426568441092968,106.8943147547543,299.0,75.19999694824219,1.902999997138977,0.057999998331069946,299.0
79.0,159.0,233.0,440.6400146484375,148.0,75.5999984741211,306.0,96.19999694824219,1784593138000.0,0.5,-6.426470540463924,106.89430251717567,306.0,75.5999984741211,1.875,0.05000000074505806,306.0
80.0,161.0,241.0,458.010009765625,150.0,76.4000015258789,314.0,98.5999984741211,1784593146000.0,0.5,-6.4263164810836315,106.89426974393427,314.0,76.4000015258789,1.847000002861023,0.09600000083446503,314.0
81.0,162.0,251.0,479.8399963378906,151.0,78.19999694824219,324.0,97.80000305175781,1784593156000.0,0.0,-6.426126295700669,106.89421660266817,324.0,78.19999694824219,1.930999994277954,0.17299999296665192,324.0
81.0,162.0,252.0,481.80999755859375,151.0,78.4000015258789,325.0,97.80000305175781,1784593157000.0,0.0,-6.426108693704009,106.89421358518302,325.0,78.4000015258789,1.940999984741211,0.28600001335144043,325.0
81.0,163.0,259.0,497.6400146484375,152.0,79.5999984741211,332.0,98.19999694824219,1784593164000.0,0.5,-6.425971984863281,106.89417125657201,332.0,79.5999984741211,1.968999981880188,0.164000004529953,332.0
81.0,162.0,269.0,515.719970703125,149.0,81.19999694824219,342.0,98.5999984741211,1784593174000.0,0.0,-6.425820775330067,106.89412272535264,342.0,81.19999694824219,2.00600004196167,0.1589999943971634,342.0
80.0,161.0,270.0,516.77001953125,153.0,81.0,343.0,98.4000015258789,1784593175000.0,0.5,-6.4258302468806505,106.89412297680974,343.0,81.0,1.996999979019165,-0.07199999690055847,343.0
80.0,160.0,271.0,518.3599853515625,153.0,81.0,344.0,98.19999694824219,1784593176000.0,0.0,-6.425843657925725,106.8941284250468,344.0,81.0,1.9780000448226929,-0.17499999701976776,344.0
78.0,157.0,275.0,526.3800048828125,151.0,80.0,348.0,98.19999694824219,1784593180000.0,0.5,-6.42591180279851,106.89416027627885,348.0,80.0,1.9129999876022339,-0.2370000034570694,348.0
80.0,161.0,285.0,547.3599853515625,150.0,78.4000015258789,358.0,99.19999694824219,1784593190000.0,0.5,-6.426083547994494,106.89424769952893,358.0,78.4000015258789,1.9129999876022339,-0.16200000047683716,358.0
80.0,161.0,286.0,549.47998046875,150.0,78.0,359.0,99.19999694824219,1784593191000.0,0.5,-6.42609947361052,106.89425842836499,359.0,78.0,1.9129999876022339,-0.26899999380111694,359.0
79.0,159.0,292.0,562.0800170898438,151.0,77.0,365.0,99.19999694824219,1784593197000.0,0.5,-6.426209611818194,106.89428499899805,365.0,77.0,1.930999994277954,-0.16899999976158142,365.0
80.0,161.0,298.0,572.9000244140625,148.0,76.19999694824219,371.0,100.19999694824219,1784593203000.0,0.5,-6.426306925714016,106.89429103396833,371.0,76.19999694824219,1.968999981880188,-0.12800000607967377,371.0
80.0,161.0,299.0,574.5700073242188,147.0,76.19999694824219,372.0,100.19999694824219,1784593204000.0,0.5,-6.426321845501661,106.89429287798703,372.0,76.19999694824219,1.968999981880188,-0.12700000405311584,372.0
80.0,161.0,306.0,587.469970703125,150.0,75.80000305175781,379.0,101.0,1784593211000.0,0.5,-6.426435923203826,106.894316598773,379.0,75.80000305175781,1.940999984741211,-0.05700000002980232,379.0
80.0,161.0,310.0,595.3900146484375,151.0,75.5999984741211,383.0,101.0,1784593215000.0,0.5,-6.42650356516242,106.89434073865414,383.0,75.5999984741211,1.930999994277954,-0.061000000685453415,383.0
81.0,162.0,318.0,612.5399780273438,151.0,75.0,391.0,99.80000305175781,1784593223000.0,0.0,-6.426655361428857,106.89437460154295,391.0,75.0,1.930999994277954,-0.05999999865889549,391.0
78.0,157.0,326.0,628.3499755859375,149.0,75.5999984741211,399.0,99.19999694824219,1784593231000.0,0.5,-6.426791148260236,106.89441273920238,399.0,75.5999984741211,1.9780000448226929,0.05900000035762787,399.0
80.0,161.0,333.0,642.6900024414062,151.0,75.19999694824219,406.0,98.80000305175781,1784593238000.0,0.5,-6.426873039454222,106.89450778998435,406.0,75.19999694824219,2.00600004196167,-0.04899999871850014,406.0
83.0,166.0,337.0,651.719970703125,150.0,75.0,410.0,98.5999984741211,1784593242000.0,0.0,-6.426929449662566,106.89456059597433,410.0,75.0,2.0339999198913574,-0.04899999871850014,410.0
82.0,164.0,338.0,653.780029296875,149.0,75.0,411.0,98.5999984741211,1784593243000.0,0.0,-6.426947806030512,106.8945634458214,411.0,75.0,2.0429999828338623,0.04600000008940697,411.0
