directRunCadence,sumDistance,directFractionalCadence,directSpeed,sumMovingDuration,directLatitude,directElevation,directDoubleCadence,sumDuration,directLongitude,directCorrectedElevation,sumElapsedDuration,directUncorrectedElevation,directHeartRate,directTimestamp,directVerticalSpeed,elapsed_s
77.0,338.45001220703125,0.5,1.222000002861023,232.0,-1.2771533522754908,8.0,155.0,233.0,116.83812892064452,8.0,233.0,28.600000381469727,116.0,1785540428000.0,0.05400000140070915,233.0
75.0,343.9700012207031,0.0,1.222000002861023,236.0,-1.2771753128618002,8.199999809265137,150.0,237.0,116.83808466419578,8.199999809265137,237.0,29.399999618530273,116.0,1785540432000.0,0.052000001072883606,237.0
75.0,347.32000732421875,0.0,1.222000002861023,238.0,-1.2771827727556229,8.399999618530273,150.0,239.0,116.83805499225855,8.399999618530273,239.0,29.399999618530273,116.0,1785540434000.0,0.05299999937415123,239.0
74.0,359.1499938964844,0.0,1.2410000562667847,245.0,-1.2771907355636358,8.800000190734863,148.0,246.0,116.837950469926,8.800000190734863,246.0,29.0,118.0,1785540441000.0,0.05400000140070915,246.0
75.0,368.0299987792969,0.0,1.2599999904632568,252.0,-1.2771946750581264,9.0,150.0,253.0,116.83786883018911,9.0,253.0,28.200000762939453,120.0,1785540448000.0,0.039000000804662704,253.0
72.0,377.6300048828125,0.0,1.2690000534057617,259.0,-1.2771821022033691,9.199999809265137,144.0,260.0,116.83778023347259,9.199999809265137,260.0,25.600000381469727,122.0,1785540455000.0,0.026000000536441803,260.0
74.0,384.7300109863281,0.0,1.2410000562667847,265.0,-1.27717480994761,9.399999618530273,148.0,266.0,116.83771301060915,9.399999618530273,266.0,25.600000381469727,122.0,1785540461000.0,0.04899999871850014,266.0
76.0,397.4700012207031,0.0,1.222000002861023,273.0,-1.2771607283502817,10.0,152.0,274.0,116.83759583160281,10.0,274.0,26.799999237060547,122.0,1785540469000.0,0.06499999761581421,274.0
76.0,404.6000061035156,0.0,1.2319999933242798,280.0,-1.277190651744604,9.600000381469727,152.0,281.0,116.83753204531968,9.600000381469727,281.0,27.399999618530273,123.0,1785540476000.0,-0.04500000178813934,281.0
76.0,408.44000244140625,0.0,1.222000002861023,285.0,-1.2772029731422663,9.600000381469727,152.0,286.0,116.83749558404088,9.600000381469727,286.0,23.600000381469727,126.0,1785540481000.0,-0.027000000700354576,286.0
76.0,411.6499938964844,0.0,1.2130000591278076,288.0,-1.2772040627896786,9.600000381469727,152.0,289.0,116.83746591210365,9.600000381469727,289.0,21.799999237060547,125.0,1785540484000.0,-0.004000000189989805,289.0
76.0,413.19000244140625,0.5,1.2130000591278076,289.0,-1.2772057391703129,9.600000381469727,153.0,290.0,116.83745023794472,9.600000381469727,290.0,21.399999618530273,125.0,1785540485000.0,-0.017999999225139618,290.0
77.0,417.9100036621094,0.5,1.222000002861023,292.0,-1.2772008776664734,9.600000381469727,155.0,293.0,116.83740514330566,9.600000381469727,293.0,20.600000381469727,124.0,1785540488000.0,0.017000000923871994,293.0
76.0,424.3399963378906,0.5,1.2410000562667847,296.0,-1.2771856226027012,9.800000190734863,153.0,297.0,116.83734680525959,9.800000190734863,297.0,20.600000381469727,123.0,1785540492000.0,0.04100000113248825,297.0
77.0,440.30999755859375,0.5,1.3250000476837158,305.0,-1.277148574590683,9.199999809265137,155.0,306.0,116.83720523491502,9.199999809265137,306.0,23.200000762939453,123.0,1785540501000.0,-0.057999998331069946,306.0
79.0,447.010009765625,0.0,1.4930000305175781,309.0,-1.2771367561072111,8.800000190734863,158.0,310.0,116.83714513666928,8.800000190734863,310.0,25.399999618530273,120.0,1785540505000.0,-0.1080000028014183,310.0
77.0,454.6099853515625,0.5,1.5770000219345093,314.0,-1.2771290447562933,8.199999809265137,155.0,315.0,116.83707707561553,8.199999809265137,315.0,27.0,120.0,1785540510000.0,-0.09799999743700027,315.0
77.0,459.239990234375,0.5,1.5770000219345093,318.0,-1.2771168909966946,8.0,155.0,319.0,116.8370370939374,8.0,319.0,27.600000381469727,123.0,1785540514000.0,-0.07199999690055847,319.0
77.0,467.3800048828125,0.5,1.4839999675750732,324.0,-1.2770956847816706,7.400000095367432,155.0,325.0,116.83696727268398,7.400000095367432,325.0,29.200000762939453,124.0,1785540520000.0,-0.08399999886751175,325.0
77.0,482.07000732421875,0.5,1.5119999647140503,332.0,-1.2770998757332563,6.599999904632568,155.0,333.0,116.83683559298515,6.599999904632568,333.0,31.799999237060547,122.0,1785540528000.0,-0.11800000071525574,333.0
77.0,494.67999267578125,0.0,1.5859999656677246,340.0,-1.2771053239703178,5.800000190734863,154.0,341.0,116.83672243729234,5.800000190734863,341.0,30.600000381469727,124.0,1785540536000.0,-0.10199999809265137,341.0
