sumElapsedDuration,directSpeed,directUncorrectedElevation,directTimestamp,sumDuration,directRunCadence,directCorrectedElevation,directLatitude,directDoubleCadence,directElevation,directLongitude,sumDistance,directFractionalCadence,directHeartRate,sumMovingDuration,directVerticalSpeed,elapsed_s
1741.0,1.465000033378601,111.19999694824219,1787702169000.0,1741.0,73.0,99.19999694824219,-6.434678938239813,146.0,99.19999694824219,106.8918090686202,2932.27001953125,0.0,131.0,1741.0,0.035999998450279236,1741.0
1748.0,1.4459999799728394,110.80000305175781,1787702176000.0,1748.0,72.0,99.4000015258789,-6.434621103107929,144.0,99.4000015258789,106.89186581410468,2941.330078125,0.0,131.0,1748.0,0.028999999165534973,1748.0
1749.0,1.437000036239624,110.5999984741211,1787702177000.0,1749.0,73.0,99.4000015258789,-6.434615906327963,146.0,99.4000015258789,106.89187620766461,2942.610107421875,0.0,131.0,1749.0,0.03700000047683716,1749.0
1752.0,1.4179999828338623,110.5999984741211,1787702180000.0,1752.0,72.0,99.4000015258789,-6.434593694284558,144.0,99.4000015258789,106.89190110191703,2946.3798828125,0.0,130.0,1752.0,0.029999999329447746,1752.0
1756.0,1.399999976158142,110.4000015258789,1787702184000.0,1756.0,70.0,99.5999984741211,-6.434569135308266,140.0,99.5999984741211,106.89193320460618,2950.820068359375,0.0,129.0,1756.0,0.028999999165534973,1756.0
1767.0,1.3339999914169312,110.4000015258789,1787702195000.0,1767.0,71.0,99.80000305175781,-6.434474168345332,142.0,99.80000305175781,106.89201585017145,2964.489990234375,0.0,129.0,1767.0,0.027000000700354576,1767.0
1774.0,1.2879999876022339,110.80000305175781,1787702202000.0,1774.0,70.0,99.5999984741211,-6.434408873319626,140.0,99.5999984741211,106.89207812771201,2974.469970703125,0.0,128.0,1774.0,-0.03700000047683716,1774.0
1782.0,1.2879999876022339,111.19999694824219,1787702210000.0,1782.0,71.0,98.4000015258789,-6.434334442019463,142.0,98.4000015258789,106.89213881269097,2984.840087890625,0.0,128.0,1782.0,-0.1550000011920929,1782.0
1783.0,1.2879999876022339,111.19999694824219,1787702211000.0,1783.0,71.0,98.19999694824219,-6.434324635192752,143.0,98.19999694824219,106.89214979298413,2986.449951171875,0.5,128.0,1783.0,-0.1809999942779541,1783.0
1794.0,1.3339999914169312,109.5999984741211,1787702222000.0,1794.0,73.0,96.19999694824219,-6.434207456186414,146.0,96.19999694824219,106.8922482803464,3003.419921875,0.0,129.0,1794.0,-0.1860000044107437,1794.0
1804.0,1.409000039100647,107.80000305175781,1787702232000.0,1804.0,75.0,93.5999984741211,-6.434063203632832,150.0,93.5999984741211,106.8923046067357,3020.360107421875,0.0,127.0,1804.0,-0.2590000033378601,1804.0
1815.0,1.4459999799728394,108.0,1787702243000.0,1815.0,71.0,91.0,-6.433928422629833,143.0,91.0,106.8923394754529,3035.760009765625,0.5,126.0,1815.0,-0.22599999606609344,1815.0
1828.0,1.4930000305175781,106.4000015258789,1787702256000.0,1828.0,73.0,90.0,-6.43376749008894,147.0,90.0,106.89238892868161,3054.47998046875,0.5,124.0,1828.0,-0.07900000363588333,1828.0
1836.0,1.4930000305175781,104.80000305175781,1787702264000.0,1836.0,73.0,89.80000305175781,-6.4336685836315155,146.0,89.80000305175781,106.89241583459079,3065.830078125,0.0,123.0,1836.0,-0.019999999552965164,1836.0
1845.0,1.5210000276565552,104.5999984741211,1787702273000.0,1845.0,76.0,89.5999984741211,-6.433533132076263,152.0,89.5999984741211,106.8924206122756,3080.9599609375,0.0,125.0,1845.0,-0.027000000700354576,1845.0
1857.0,1.5859999656677246,103.80000305175781,1787702285000.0,1857.0,73.0,89.4000015258789,-6.43336733803153,147.0,89.4000015258789,106.89239035360515,3099.669921875,0.5,125.0,1857.0,-0.017999999225139618,1857.0
1869.0,1.5859999656677246,103.80000305175781,1787702297000.0,1869.0,74.0,89.80000305175781,-6.433204812929034,148.0,89.80000305175781,106.89239094033837,3117.64990234375,0.0,128.0,1869.0,0.032999999821186066,1869.0
1870.0,1.5859999656677246,103.80000305175781,1787702298000.0,1870.0,74.0,89.80000305175781,-6.433191569522023,148.0,89.80000305175781,106.89238959923387,3119.1201171875,0.0,128.0,1870.0,0.03799999877810478,1870.0
1882.0,1.5399999618530273,102.80000305175781,1787702310000.0,1882.0,75.0,90.4000015258789,-6.433041617274284,150.0,90.4000015258789,106.89239429309964,3135.77001953125,0.0,130.0,1882.0,0.04800000041723251,1882.0
1886.0,1.5019999742507935,102.5999984741211,1787702314000.0,1886.0,69.0,90.4000015258789,-6.432995684444904,139.0,90.4000015258789,106.89240275882185,3140.929931640625,0.5,127.0,1886.0,-0.017999999225139618,1886.0
1889.0,1.465000033378601,102.80000305175781,1787702317000.0,1889.0,69.0,90.4000015258789,-6.432970454916358,139.0,90.4000015258789,106.89241155982018,3143.909912109375,0.5,126.0,1889.0,-0.008999999612569809,1889.0
1892.0,1.4279999732971191,103.19999694824219,1787702320000.0,1892.0,69.0,90.19999694824219,-6.432938268408179,139.0,90.19999694824219,106.89241725951433,3147.360107421875,0.5,125.0,1892.0,-0.03999999910593033,1892.0
1898.0,1.3619999885559082,103.19999694824219,1787702326000.0,1898.0,70.0,90.0,-6.4328686986118555,141.0,90.0,106.89244232140481,3155.530029296875,0.5,125.0,1898.0,-0.03799999877810478,1898.0
1906.0,1.305999994277954,103.5999984741211,1787702334000.0,1906.0,69.0,89.80000305175781,-6.432792926207185,139.0,89.80000305175781,106.89247660338879,3164.580078125,0.5,127.0,1906.0,-0.02199999988079071,1906.0
1908.0,1.2970000505447388,103.80000305175781,1787702336000.0,1908.0,69.0,89.80000305175781,-6.432768702507019,138.0,89.80000305175781,106.89248548820615,3167.449951171875,0.0,128.0,1908.0,-0.039000000804662704,1908.0
1914.0,1.2690000534057617,104.19999694824219,1787702342000.0,1914.0,68.0,89.5999984741211,-6.432704580947757,136.0,89.5999984741211,106.89251608215272,3175.280029296875,0.0,128.0,1914.0,-0.02199999988079071,1914.0
1918.0,1.2599999904632568,104.19999694824219,1787702346000.0,1918.0,69.0,89.4000015258789,-6.4326634258031845,138.0,89.4000015258789,106.89252831973135,3179.8701171875,0.0,127.0,1918.0,-0.04100000113248825,1918.0
1921.0,1.25,104.19999694824219,1787702349000.0,1921.0,69.0,89.4000015258789,-6.432635011151433,138.0,89.4000015258789,106.89253888092935,3183.2099609375,0.0,126.0,1921.0,-0.029999999329447746,1921.0
1929.0,1.2410000562667847,104.5999984741211,1787702357000.0,1929.0,68.0,88.80000305175781,-6.4325350150465965,136.0,88.80000305175781,106.89255757257342,3194.340087890625,0.0,125.0,1929.0,-0.06499999761581421,1929.0
